"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","","22","kaanana_Aug2017","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಆಗಸ್ಟ್ 2017","2017"
"","","24","kaanana_May2013","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಮೇ 2013","2013"
"","ಶ್ರೀ ಈಳಂತೋಡಿ ರಾಮಕೃಷ್ಣ ಭಟ್","27","kalidasanamalavi0000srie_a1s0","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕಾಳಿದಾಸನ ಮಾಲವಿಕಾಗ್ನಿಮಿತ್ರ (ಭಾಗ ೨) ೨೨೮","1959"
"","","4","kalki19450401","","Magazine,Tamil Magazine","Kalki Magazine 1945-04-01","1945"
"","","4","kalki19450107","","Magazine,Tamil Magazine","Kalki Magazine 1945-01-07","1945"
"","","1","kalki19450415","","Magazine,Tamil Magazine","Kalki Magazine 1945-04-15","1945"
"","","2","kalki19440924","","Magazine,Tamil Magazine","Kalki Magazine 1944-09-24","1944"
"","","2","kalki1946-07-28","","Magazine,Tamil Magazine","Kalki Magazine 1946-07-28","1946"
"","","2","kalki1946-06-09","","Magazine,Tamil Magazine","Kalki Magazine 1946-06-09","1946"
"","","2","kalki1946-05-12","","Magazine,Tamil Magazine","Kalki Magazine 1946-05-12","1946"
"","","2","kalki1946-04-14","","Magazine,Tamil Magazine","Kalki Magazine 1946-04-14","1946"
"","","1","kalki1946-05-05","","Magazine,Tamil Magazine","Kalki Magazine 1946-05-05","1946"
"","","1","kalki19440611","","Magazine,Tamil Magazine","Kalki Magazine 1944-06-11","1944"
"","","2","kalki19460127","","Magazine,Tamil Magazine","Kalki Magazine 1946-01-27","1946"
