"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","Citampara Cuvāmikaḷ, Tiruppōrūr, d. 1659","36","dli.rmrl.002402","","","Tiruppōrūrc cannitimur̲ai","1878"
"","Vaiyāpurip Piḷḷai, Es, 1891-1956","35","dli.rmrl.003690","Tamil̲p Puttakālayam","","Ilakkiya utayam","1950"
"","Cokkaliṅkam, Ṭi. Es","43","dli.rmrl.003820","Navayukap Piracurālayam","","Kāmarāj","1955"
"","","19","dli.rmrl.003929","","","Ar̲iñar Aṇṇāturai","1948"
"","Citamparam Piḷḷai, Va. U,","25","dli.rmrl.003903","Pāri Nilaiyam","","Va. U. Ci. Cuyacaritai","1955"
"","Piḷḷaipperumāḷaiyaṅkār, active 17th century","31","dli.rmrl.003077","Kaṇēca Accukkūṭam","","Piḷḷaipperumāḷaiyaṅkār aruḷicceyta Tiruvēṅkaṭattantāti","1906"
"","Nantik kalampakam","40","dli.rmrl.003052","Maturait Tamil̲ccaṅka Muttirācālai","","Maturait Tamil̲ccaṅka Muttirācālai","1927"
"","Danielson, Andrew J","20","dli.rmrl.003425","YMCA Publishing House","","Health and physical education for schools","1948"
"","Bowles, Cynthia","22","dli.rmrl.004869","","","Intiyā en̲ vīṭē","1957"
"","Kaṇēcan̲","32","dli.rmrl.005049","","","Tiripuri kāṅkiras","1900"
"","Irācamāṇikkan̲ār, Mā","21","dli.rmrl.004674","","","Aruvikaḷ","1955"
"","Vēṅkaṭarāma Aiyar, A. Vā","25","dli.rmrl.004154","Cen̲n̲ai Kamerṣiyal Accukkūṭam","","Caḷukkiya Vikkiramātittan̲ carittiram","1922"
"","Pun̲n̲aivan̲anāta Mutaliyār, Pu. Ci, b. 1889","36","dli.rmrl.004019","","","Makārāṇimaṅkammāḷ","1923"
"","Cantiracēkaran̲","35","dli.rmrl.004043","","","Rājakōṭṭai cattiyākkiraham","1939"
"","","40","dli.rmrl.004219","Government Oriental Manuscripts Library","","Karnāṭaka rājākkaḷ cavistāra carittiram","1952"
"","Naṭēcan̲, Ai","13","dli.rmrl.004194","Auvaip Patippakam","","Tōn̲r̲al Ariyanāyakam","1948"
"","Pon̲n̲aiyā, Jē. Es","16","dli.rmrl.004204","","","Pōrum makkaḷ varalār̲um","1941"
"","","27","dli.rmrl.004277","","","Akaṇṭa Intiyā",""
"","Vētanāyakam Piḷḷai,","10","dli.rmrl.006831","Periyanāyakiyamman̲ Accukkūṭa","","Carva camaya camaracak kīrttan̲aikaḷ","1930"
"","Cuntaravaratāccāriyar","24","dli.rmrl.005259","","","Intiya carittiram","1930"
"","Gandhi, Mahatma,","19","dli.rmrl.007303","Es. Kaṇēcan̲,","","An̲āsakti yōkam, allatu, Par̲r̲in̲r̲i vāl̲tal","1932"
"","Cuppiramaṇiya Pārati, Tiru. A, Varakavi","12","dli.rmrl.007431","Pāla Vinōtin̲i Āpis","","Irāmāyaṇa irakasyam","1925"
"","Marcus Aurelius, Emperor of Rome","19","dli.rmrl.006924","Tēcōpakāri Pustakacālai","","Rōmāpuric cakravarttiyum rājariṣiyumān̲a Mārkka Arēliyar Ātma cintan̲ai","1940"
"","Vētanāyakam Piḷḷai,","13","dli.rmrl.006943","Tirunelvēlit Ten̲n̲intiya Caivacittānta Nūr̲patippuk Kal̲akam,","","Peṇ kalvi, Peṇ mān̲am, Peṇmatimālai","1953"
"","Kashinatha Pandurang Parab","14","subhashitaratnab0000kash","Tukaram Javaji Proprietor Of The ""Nirnaya-Sagar"" Press","","Subhashita-Ratna-Bhandagaram Or Gems Of Sanskrit Poetry","1911"
"","ANDRU MENDONSA","8","sudkadanthlisudk0000andr","KONKANI SAHITYA PRAKASHAN","","SUDKADANTHLI SUDKA","1968"
"","ಶ್ರೀ ಎನ್ ಎಸ್ ನವಕಾನ","18","suryanenanagesak0000srin","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸೂರ್ಯನೆ ನನಗೆ ಸಾಕ್ಷಿ ಮತ್ತು ಇತರ ಕಥೆಗಳು ೧೨೨","1957"
"","ಶ್ರೀ ಸುರೇಂದ್ರ ಕುಮಾರ ಮಲ್ಹೋತ್ರ","8","swathantrya980000sris","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸ್ವಾತಂತ್ರ್ಯ ೯೮","1956"
"","ಗೌರೀಶ ಕಾಯ್ಕಿಣಿ","37","swathanthrottara0000gour","ಕನ್ನಡ ಸಾಹಿತ್ಯ ಪರಿಷತ್","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾಯ್ಕಿಣಿ ಸಂಚಯ","ಸ್ವಾತಂತ್ರ್ಯೋತ್ತರ ವಿಚಾರ ಸಾಹಿತ್ಯ","1983"
"","ଲକ୍ଷ୍ମୀ ନାରାୟଣ ସାହୁ,Laxmi Narayana Sahu,Laksi Narayana Sahu","6","madhubaisya-1946","","ଆଲୋଚନା,discussion","ମଧୁବୈଶ୍ୟ","1946"
"","ମୌଲବୀ ମହମ୍ମଦ ଅବଦୁଲ ବାରି,Maulabi Mohmed Abdul Bari","4","madhya-odia-bharatabarsa-itihasa-1933","","ପାଠ୍ୟପୁସ୍ତକ,textbook","ମଧ୍ୟ ଓଡ଼ିଆ ଭାରତବର୍ଷ ଇତିହାସ","1933"
"","ମାଧବ ଚୌଧୁରୀ,Madhaba Choudhury,Madhabi Choudhuri","4","madhyaodia-nabina-bharata-itihasa-1940","","ପାଠ୍ୟପୁସ୍ତକ,textbook","ମଧ୍ୟଓଡ଼ିଆ ନବୀନ ଭାରତ ଇତିହାସ","1940"
"","ଅକ୍ରୂର ସାଧୁଶର୍ମା,ବାଞ୍ଛାନିଧି ସାଧୁଶର୍ମା,Akrusarma, Banchanidhi Sadhusarma,Akrura Sadhusharma,Banchhanidhi Sadhusharma","2","mahalakshmi-stuti-1932","","କବିତା,poetry","ମହାଲକ୍ଷ୍ମୀ ସ୍ତୁତି","1932"
"","ଦେବହୂତି ଦେଈ,Debahuti Dei","5","mala-1931","","କବିତା,poetry","ମାଳା","1931"
"","PRADEEP","2","lhanchaliyechika0000prad","SALLAK PRAKASHAN","","LHAN CHALIYECHI KANNIK","1970"
"","गौरीश वेर्णेकार","26","shunya0000gour","Yogitha vernekar","","शून्य (कविता संग्रह)","2010"
"","Donald G. Mitchell","23","unset0000unse_u7o5","Bellman Publishing Co., Inc.","CFTRI","The Chocolate Industry","1951"
"","ডঃ শ্রী ফণীন্দ্রনাথ বসু","77","unset0000unse_y6v3","Barada Agency (Kolkata)","","আচার্য জগদীশচন্দ্র","1938"
"","","76","oushadhashastra0000unse","","ಕನ್ನಡ ಸಾಹಿತ್ಯ,SSACC Sanchaya","‌ಔಷದ ಶಾಸ್ತ್ರವು",""
"","ଶ୍ୟାମସୁନ୍ଦର ନାୟକ,Śhyamasundar Naik,Śẏāmasundar Nāik","2","gayaka-ghodachadha-vol-1","","କବିତା,Poetry,Odia Bibhaba","ଗାୟକ ଘୋଡ଼ାଚଢ଼ା ଭାଗ ୧",""
"","ବିପିନ ବିହାରୀ ରାୟ,Bipina Bihari Ray","4","prabandha-sopana-1937","","ପ୍ରବନ୍ଧ,essay","ପ୍ରବନ୍ଧ ସୋପାନ","1937"
"","Dr.Miranda","15","pracheenakonkani0000drmi","","","REDO THE SCAN",""
"","ଭୁବନାନନ୍ଦ ଦାସ,Bhubanananda Das","3","prachina-utkalare-labana-silpa-1932","","ପ୍ରବନ୍ଧ,essay","ପ୍ରାଚୀନ ଉତ୍କଳରେ ଲବଣ ଶିଳ୍ପ","1932"
"","ଦାମୋଦର,Damodara","5","pradhanapata-1895","","କବିତା,poetry","ପ୍ରଧାନପାଟ","1895"
"","ରାଧା ମୋହନ ରାଜେନ୍ଦ୍ରଦେବ,Radha Mohana Rajendradeba","2","prakruti-barnnana-1921","","କବିତା,poetry","ପ୍ରକୃତି ବର୍ଣ୍ଣନ","1921"
"","ବିଶ୍ୱମ୍ଭର ରାଜେନ୍ଦ୍ର ଦେବ,Biswambhara Rajendra Deba,Bishwambhara Rajendra Deb","5","radhaprema-lila-1911","","କବିତା,poetry","ରାଧାପ୍ରେମ ଲୀଳା","1911"
"","SUNAND","6","raiundhir0000suna","RAKHNO PRAKASHAN","","RAI UNDHIR",""
"","ଚିନ୍ତାମଣି ମହାନ୍ତି,Cintamani Mohanty,Chintamani Mohanty","4","rajabhakti-1910","","କବିତା,poetry","ରାଜଭକ୍ତି","1910"
"","ಪಾ. ವೆಂ. ಆಚಾರ್ಯ","297","rajakiyalekanaga0000unse","","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಪಾ. ವೆಂ. ಸಾಹಿತ್ಯ ಸಂಚಯ","ರಾಜಕೀಯ ಲೇಖನಗಳು","1973"
"","Kavindra Venkatesh Phaldeshi","12","rajkunvarshendla0000kavi","Zaith Prakashan","","Rajkunvar Shendla","2010"
"","","1","biraja-baktrutamala-4-odisara-sanskruti-1977","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ବିରଜା ବକ୍ତୃତାମାଳା ୪: ଓଡ଼ିଶାର ସଂସ୍କୃତି","1977"
"","ନଳିନୀ ପ୍ରଭା,Nalini Prabha,Nal̥inī Prabhā","3","birapuja-1959","","ଉପନ୍ୟାସ,Novel,Odia Bibhaba","ବୀରପୂଜା","1959"
"","","2","biraja-baktrutamala-5-jajapura-bisesanka-1978","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ବିରଜା ବକ୍ତୃତାମାଳା ୫: ଯାଜପୁର ବିଶେଷାଙ୍କ","1978"
"","କୃଷ୍ଣ ପ୍ରସାଦ ପଟ୍ଟନାୟକ,Krusna Prasada PatnaikTr.,Kr̥ṣṇa Prasāda Patnāik","1","biswa-bikhyata-katha-sahitya-vol-1-1965","","ଗଳ୍ପ,Story,Odia Bibhaba","ବିଶ୍ୱ ବିଖ୍ୟାତ କଥା ସାହିତ୍ୟ, ଭାଗ ୧","1965"
"","Gilbeart H. Collings","14","commercialfertil0000gilb","The Blakiston Company","CFTRI","Commercial Fertilizers","1947"
"","SRI FRANCIS SALDANHA","7","dantilledirve0000srif","JNAN PRAKASHAN","","DANTILLE DIRVE","1977"
"","","3","model-uriya-reader-vol-1","","ପାଠ୍ୟପୁସ୍ତକ,poetry","ବାଲ୍ୟପାଠ ଭାଗ ୧",""
"","","1","danda-nata","","କବିତା,Poetry,Odia Bibhaba","ଦଣ୍ଡ ନାଟ",""
"","ରାମ ଚନ୍ଦ୍ର ଆଚାର୍ଯ୍ୟ,Rama Chandra Acharya","6","padmini-1924","","ଉପନ୍ୟାସ,novel","ପଦ୍ମିନୀ","1924"
"","Mahabaleshwar Sal","16","paltadchetaru0000maha","Chandrakant Keni","","Paltadche Taru",""
"","ରାଧା ମୋହନ ରାଜେନ୍ଦ୍ରଦେବ,Radha Mohana Rajendradeb","4","panchali-patapaharana-1916","","ନାଟକ,drama","ପାଞ୍ଚାଳୀ ପଟାପହରଣ","1916"
"","ಶ್ರೀ ಸಿ ಗೋಪಾಲಕೃಷ್ಣಾಚಾರ್ಯ","60","panchakanyeyarum0000sric","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಪಂಚಕನ್ಯೆಯರು ಮತ್ತು ಚಿರಂಜೀವಿಗಳು ೧೬೫","1957"
"","ଷଡ଼ାନନ ଶର୍ମା,Sadanana Sarma,Sadanana Sharma","4","panchamabahini-1947","","ଉପନ୍ୟାସ,novel","ପଞ୍ଚମବାହିନୀ","1947"
"","ಡಾ. ಎನ್. ಶೇಷಗಿರಿ","19","paramanubomb0000drns","ಶ್ರೀ ದ್ವೈಪಾಯನ ಟ್ರಸ್ಟ್","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಪರಮಾಣು ಬಾಂಬ್","1974"
"","ಡಾ.ಪುನೀತ್ ರಾಘವೇಂದ್ರ ಕುಂಟುಕಾಡು","16","minpuliarebashe","ಕರ್ನಾಟಕ ಅರೆಭಾಷೆ ಸಂಸ್ಕೃತಿ ಮತ್ತು‍ ಸಾಹಿತ್ಯ ಅಕಾಡೆಮಿ","ಅರೆಭಾಷೆ ಕಥೆ,ಅರೆಭಾಷೆ ಸಾಹಿತ್ಯ,Arebashe Sahitya,ಅರೆಬಾಸೆ ಸಾಹಿತ್ಯ,ಕರ್ನಾಟಕ ಅರೆ‌ಭಾಷೆ ಸಂಸ್ಕೃತಿ ಮತ್ತು ಸಾಹಿತ್ಯ ಅಕಾಡೆಮಿ","ಮಿಣ್ಪುಳಿ","2019"
"","ଓମର ଖୟାମ,ଜଗତବନ୍ଧୁ ମହାପାତ୍ର,Omar Khayam,Jagatabandu Mahapatra,Jagatabandhu Mahapatra","6","parasya-bina-1947","","କବିତା,poetry","ପାରସ୍ୟ ବୀଣା","1947"
"","Aruṇācalam, Kē, 1912","21","dli.rmrl.004188","Puttaka Nilaiyam","","[Nēttājiyin̲ vāl̲kkai varalār̲u","1946"
"","Ayer, V. A. K","87","dli.rmrl.007659","D. B. Taraporevala Sons & Co","","Palmistry for pleasure and profit","1900"
"","Cēṣācalam, Re,","10","dli.rmrl.007173","Cintan̲aip Patippakam,","","Paṇam","1953"
"","Vētanāyakam Piḷḷai,","13","dli.rmrl.007190","Vittiyārattinākara Accukkūṭam","","Carvacamaya camaracak kīrttan̲aikaḷ","1903"
"","Vētanāyakam Piḷḷai,","6","dli.rmrl.007191","Vittiyāratnākara Accukkūṭam","","Carvacamayakacamaracakkīrttan̲aikaḷ","1902"
"","Pālaiyā","12","dli.rmrl.014825","","","Cir̲u katai mañcari","1944"
"","Utayamūrtti, Em. Es","70","dli.rmrl.021430","Vān̲ati Patippakam","","Taṭṭuṅkaḷ tir̲akkappaṭum","2021"
"","Utayamūrtti, Em. Es","37","dli.rmrl.020182","Vān̲ati Patippakam","","Piraccin̲aikaḷukku muṭivu kāṇpatu eppaṭi?","2021"
"","Utayamūrtti, Em. Es","62","dli.rmrl.111096","Kaṅkai Puttaka Nilaiyam","","Eṇṇaṅkaḷ","2006"
"","Ñān̲i","20","dli.rmrl.078469","Nikal̲","","Nān̲um en̲ Tamil̲um",""
"","Teyvanāyakam, Mu,","48","dli.rmrl.065544","Ulakat Tamil̲ārāycci Nir̲uvan̲am","","Viviliyam Tirukkur̲aḷ Caivacittāntam oppāyvu","1935"
"","ramalinga swamigal","41","dli.rmrl.1053","chennai july sun of india press","","devara thothira thirattu","1940"
"","","58","dli.rmrl.107925","Tamiḻnāṭṭuc Caṅkīta Nāṭaka Caṅkam, Mattiya Caṅkīta Nāṭaka Akāṭami","","Cāttan̲ār aruḷicceyta Kūtta nūl","1968"
"","Utayamūrtti, Em. Es,","59","dli.rmrl.122112","","","Uyar man̲itan̲ai uruvākkum kuṇaṅkaḷ","1991"
"","DR. PATTABHI SEETHARAMAYYA","22","dli.viswakonkani.380","GOKULDAS DHOOTH","Konkani World Centre","RIYASATHO KA SAVAL","1947"
"","MAHAKAVI KALIDAS,SHANTARAM WARDE WALAWALIKAR (translator)","184","dli.viswakonkani.4459","SHANTHAYI PRAKASHAN (GOA)","Konkani World Centre","MEGHDUT","2014"
"","ಶ್ರೀ ವೈ ಮಹಾಲಿಂಗ ಭಟ್","11","mysorerajyadhapr0000sriy","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಮೈಸೂರು ರಾಜ್ಯದ ಪ್ರೇಕ್ಷಣೀಯ ಸ್ಥಳಗಳು ೧೫೯","1957"
"","ಜಿ. ಟಿ. ನಾರಾಯಣರಾವ್","368","n_c_c_dinagalu001","ಅತ್ರಿ ಬುಕ್ ಸೆಂಟರ್","ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಎನ್‍ಸಿಸಿ ದಿನಗಳು","1972"
"","କୁନ୍ତଳା କୁମାରୀ ସାବତ,Kuntala Kumari Sabat","4","naa-tundi-1925","","ଉପନ୍ୟାସ,novel","ନଅ ତୁଣ୍ଡୀ","1925"
"","ಡಾ. ಕೃಷ್ಣಾನಂದ ಕಾಮತ್","82","naanooamerikegeh0000drkr","ಪ್ರಗತಿ ಗ್ರಾಫಿಕ್ಸ್","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾಮತ್ ಸಂಚಯ","‌ನಾನೂ ಅಮೇರಿಕೆಗೆ ಹೋಗಿದ್ದೆ","1969"
"","ନାରାୟଣ ଶୂରଦେବ,Narayana Suradeba,Narayana Shuradeba","3","nabanuraga-1936","","ନାଟକ,drama","ନବାନୁରାଗ","1936"
"","ରାଜ କିଶୋର ପଟ୍ଟନାୟକ,Raj Kisora Patnaik,Raj Kishore Patnaik","3","pathuki-1951","","ଗଳ୍ପ,story","ପଥୁକୀ","1951"
"","ଜଗବନ୍ଧୁ ସିଂ,Jagabandhu Singha,Jagabandhu Simha","5","prabandha-sara-1929","","ପ୍ରବନ୍ଧ,essay","ପ୍ରବନ୍ଧ ସାର","1929"
"","ଶଶି ଭୂଷଣ ରାୟ,Sasi Bhusana Ray,Shashi Bhusan Ray","5","prabandha-prabaha-volume-1-1944","","ପ୍ରବନ୍ଧ,essay","ପ୍ରବନ୍ଧ ପ୍ରବାହ ଭାଗ ୧","1944"
"","ନନ୍ଦ କିଶୋର ବଳ,Nanda Kishore Bal,Nanda Kishora Bala","4","prabhata-sangita-1933","","କବିତା,poetry","ପ୍ରଭାତ ସଙ୍ଗୀତ","1933"
"","T. J. Maltby","879","practicalhandboo0000tjma","Wyman & Co. (Calcutta)","","A Practical Handbook of the Uriya or Odiya Language","1874"
"","ଚିନ୍ତାମଣି ମହାନ୍ତି,Cintamani Mohanty,Chintamani Mohanty","5","prakruti-petika-1910","","କବିତା,poetry","ପ୍ରକୃତି ପେଟିକା","1910"
"","ಮೋಹನ್ ಶೆಣೈ","37","secularism0000drmo","Adyar gopal parivar","","ಸೆಕ್ಯುಲರಿಸಂ","2015"
"","चंद्रकांत केणी","21","alami0000chan","Gurudas Pai","","अळमीं","1985"
"","ଶିବ ପ୍ରସାଦ ଦାଶ,Siba Prasada Das,Shiba Prasad Das","4","senior-history-of-india-1940","","ପାଠ୍ୟପୁସ୍ତକ,poetry","ସିନିଅର ଭାରତ ଇତିହାସ","1940"
"","ಕುಡ್ಪಿ ವಾಸುದೇವ ಶೆಣೈ","29","meeremathunanu0000kudp","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಮೀರೆ ಮತ್ತು ನಾನು","1948"
"","ಸಂತ ಶ್ರೀ ಭದ್ರಗಿರಿ ಅಚ್ಯುತದಾಸು संत श्री भद्रगिरी अच्युतदासु","18","shreepashupatina0000unse","","","ಶ್ರೀ ಪಶುಪತಿನಾಥ ಸ್ತವನ श्री पशुपतिनाथ स्तवन",""
"","SWAMI SWARUPANANDA","16","shrimatambhagajn0000swam","","","SHRIMAT AMBHAGA JNANESHWARI",""
"","","11","shrimadgavadgeet0000unse","","","Shrimadgavadgeetha","1979"
"","Chandrakant Keni","14","shriramnathdevas0000chan","Ramnai Chaturmas Samiti","","Shri Ramnath Devasthan","2004"
"","ಜಿ. ಎನ್. ಅಶೋಕವರ್ಧನ","24","tirupathi","ಅತ್ರಿ ಬುಕ್ ಸೆಂಟರ್","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕ್ಷೇತ್ರ ದರ್ಶನ","ತಿರುಪತಿ - ಕ್ಷೇತ್ರ ದರ್ಶನದಲ್ಲೊಂದು ಸುತ್ತು",""
"","K.Ramesh Kamat","8","bharatpurachobha0000kram","Kerala Konkani Academy","","Bharat puracho Bharat Master",""
"","ಕೆ. ವಿ. ಸುಬ್ಬಣ್ಣ","193","bettakkechalitad0000kvsu","ಅಕ್ಷರ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಬೆಟ್ಟಕ್ಕೆ ಚಳಿಯಾದರೆ","1981"
"","ಉಳ್ತೂರು ತಮ್ಮಯ್ಯ ಪಾಟಾಳಿ","13","bhakthasharabha20000ultu","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಭಕ್ತ ಶಬರ ೨೯೦","1960"
"","हेमा नायक","11","bhailigodi0000hema","Apurbhai Prakashan","","भायली गोडी",""
"","ಜೆ.ಬಿ.ಮೊರಾಯಸ್ जे.बी. मोरायस","8","bhitorlemtufan0000john","Punov Prakashan","","ಭಿತರ್ಲೆಂ ತುಫಾನ್ भितरलें तुफान","1984"
"","ಡೊ|ಎಡ್ವರ್ಡ್ ನಜ್ರೆತ್","9","bhurgyanchijotha0000dred","Nazareth publications","","ಭುರ್ಗ್ಯಾಂಚಿ ಜತನ್","1998"
"","J.P.Fernandes","15","bhikari0000jpfe","Grace Prakashan","","Bhikari","2007"
"","WILLIA E. BARRETT","7","bhuimkamala0000will","SALLAK PRAKASHAN","","BHUIM KAMALA",""
"","","4","bimbdecember20060000unse","","","BIMB DECEMBER 2006",""
"","","7","biographicalmemo0000unse_w0v2","Indian National Science Academy New Delhi","","Biographical Memoirs Of Fellows Of The Indian National Science Academy Volume - 9","1984"
"","ଗୋବିନ୍ଦ ରଥ,Gobinda Rath Ed.","4","maharudrabhiseka-1911","","","ମହାରୁଦ୍ରାଭିଷେକଃ","1911"
"","P.N.Shivanand Shenoy","15","kirkir0000pnsh_b5o6","Kerala Konkani Academy","","Kirkir",""
"","ಸಂ: ಜೆಜ್ವಿತ್ ಸ್ವಾಮಿ ಸುಪ್ರಿಯ","15","konkanibhaxechem0000swam","Viveka Pragati","","ಕೊಂಕ್ಣಿ ಭಾಷೆಚೆಂ ಮನ್ಶಾ ಶಾಸ್ತಿರ್ ಭಾಗ್ ಪಯ್ಲೊ","1995"
"","","3","konkanitimesjanm0000unse_w9y1","","","KONKANI TIMES-JAN-MAR-1993",""
"","सं: एन. पुरुषोत्तम मल्लया","29","konkanilokgeeth0000mpur","Konknai bhasha prachar sabha","","कोंकणी लोकगीत (केरल)",""
"","ନେତ୍ରାନନ୍ଦ ପୂଜାରୀ,Netrananda Pujari,Netrānanda Pūjārī","4","a-bunch-of-short-stories-2002","","ଗଳ୍ପ,Story,Odia Bibhaba","A Bunch of Short Stories","2002"
"","ಶ್ರೀ ಎ ವಿ ಮಯ್ಯ","8","jarasandavade660000sria","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಜರಾಸಂಧ ವಧೆ ೬೬","1955"
"","ଜଗନ୍ନାଥ ରଥ,Jagannath Rath,Jaganāth Rath","1","jataka-1952","","ଗଳ୍ପ,Story,Odia Bibhaba","ଜାତକ","1952"
"","ಶ್ರೀ ಎದುರ್ಕಳ ಶಂಭುಭಟ್ಟರು","14","jeevamdhara0000srie","ಬಿ. ಡಿ. ಚೌಗುಲೆ","ಜೈನ ಶಾಸ್ತ್ರ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಜೈನ ಸಾಹಿತ್ಯ","ಜೀವಂಧರ","1972"
"","ಎಚ್. ದೇವಿರಪ್ಪ","71","descriptivecatal0000hdev_s2s8","ಓರಿಯಂಟಲ್ ರಿಸರ್ಚ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್, ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕನ್ನಡ ಹಸ್ತಪ್ರತಿಗಳ ವರ್ಣನಾತ್ಮಕ ಸೂಚೀ (ದ್ವಿತೀಯ ಸಂಪುಟ ಚಿ-ಪ)","1962"
"","ಅಮಿತಗತ್ಯಾಚಾರ್ಯ,ಶ್ರೀ ಎ ಶಾಂತಿರಾಜ ಶಾಸ್ತ್ರಿ ಮೈಸೂರು","29","dharmaparikshe0000srim","ಶ್ರೀಮತಿ ಆವುಬಾಯಿ ಭ್ರ ಜೀನಗೌಡ ಪಾಟೀಲ ಬೋರಗಾಂವ","ಜೈನ ಶಾಸ್ತ್ರ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಜೈನ ಸಾಹಿತ್ಯ","ಧರ್ಮ ಪರೀಕ್ಷೆ","1974"
"","ରାମଚନ୍ଦ୍ର ଭକ୍ତିବିନୋଦ,Ramachandra Bhaktibinoda","8","dhenkanala-bhugola-1932","","ପ୍ରବନ୍ଧ,essay","ଢେଙ୍କାନାଳ ଭୂଗୋଳ","1932"
"","Whitehead, George","557","dictionaryofcarn0000whit","American Baptist Mission Press (Rangoon)","Car Nicobarese language -- Dictionaries -- English,Car Nicobarese language","Dictionary of the Car-Nicobarese Language","1925"
"","Jơrgensen, Hans","115","dictionaryofclas0000jrge","Levin & Munksgaard (København)","Newari language -- Dictionaries -- English,Newari language","A Dictionary of the Classical Newārī","1936"
"","ಕುಮಾರವ್ಯಾಸ","282","The_Karnataka_Mahabharata001","","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕರ್ನಾಟಕ ಮಹಾಭಾರತ","1951"
"","PREM KUMAR","3","chitragar0000prem","KONKANNI SWATANTRA PRAKASHAN","","CHITRAGAR","1970"
"","","5","chitrangidiwali10000unse_o6y7","","","CHITRANGI-DIWALI-1988",""
"","","38","choondsindhikaha0000unse","","","Choond Sindhi Kahaniyun",""
"","J.S.ALVARES","4","chorfather0000jsal","MITHAR BHAVAN","","CHOR FATHER","1987"
"","ಶ್ರೀಮತಿ ವಿಠಾ ಆರ್. ಶಾನಭಾಗ್","20","divyasandesh0000smtv","Smt.Vita R.Shanbhag","","ದಿವ್ಯ ಸಂದೇಶ ಶ್ರೀ ಧರ್ಮಸ್ಥಳ ಕ್ಷೇತ್ರ ಆನಿ ಶ್ರೀ ಬಾಹುಬಲಿ ಚರಿತ್ರ","1995"
"","","10","kulagarjuly0000unse","","","Kulagar-July","1986"
"","","13","kulagarmay0000unse","","","Kulagar-May","1986"
"","Swami RAmdas","284","worldofgod0000swam","Anandashram","","World Of God","1955"
"","ଗୋପାଳ ଚନ୍ଦ୍ର ପ୍ରହରାଜ,Gopala Chandra Praharaj,Gopal Chandra Praharaj","2","utkala-sahitya-samajara-abhibhasana-1929","","ବିବରଣୀ,report","ଉତ୍କଳ ସାହିତ୍ୟ ସମାଜର ଅଭିଭାଷଣ","1929"
"","ରାଧା ଚରଣ ପଣ୍ଡା,Radha Charana Panda,Radha Charana Panḍa","3","utkalara-kutira-silpa-1934","","ପ୍ରବନ୍ଧ,essay","ଉତ୍କଳର କୁଟୀର ଶିଳ୍ପ","1934"
"","ಡಾ. ಟಿ ಪ್ ಭಟ್","68","chanakyashathaka0000drtp","ಒಂದಾಣೆ ಮಾಲೆ, ಮಂಗಳೂರು","ಒಂದಾಣೆ ಮಾಲೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಚಾಣಕ್ಯ ಶತಕ ೧೪೮","1957"
